search_title,search_authors,search_publisher,title,authors,publisher,published_date,description,page_count,categories,language,thumbnail,use_title,use_author,use_publisher,errors
A/Bテスト実践ガイド　真のデータドリブンへ至る信用できる実験とは,Ron Kohavi，Diane Tang，Ya Xu，大杉直也,ドワンゴ,A/Bテスト実践ガイド,"Ron Kohavi, Diane Tang, Ya Xu",,2021-03,経営層からデータサイエンティスト、エンジニアまで全関係者必読の教科書!...,289,,ja,http://books.google.com/books/content?id=EyRjzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,1.0,0
AIエンジニアのための機械学習システムデザインパターン,澁井雄介,翔泳社,AIエンジニアのための機械学習システムデザインパターン,澁井 雄介,翔泳社,2021-05-17,機械学習システム構築に必要な デザインパターンがここにある！ 【本書の背景】 Pythonを用いた機械学習のモデル開発事例は多数ありますが、 そのモデルをビジネスやシステムに組み込み、運用する事例や方法論は多くありません。 そのため、AIを組み込んだ実装モデルをまとめた、 「機械学習システムのデザインパターン」に注目が集まっています。 【対象読者】 ・AIエンジニア ・システムエンジニア ・機械学習を本番システムとして使うための開発、運用方法で悩んでいるエンジニアの方 【本書の概要】 本書は機械学習を有効活用するためにはシステムに組み込むための設計や 実装が必要と考え、機械学習システムのデザインパターンを集めて解説した書籍です。 機械学習システムのグランドデザインおよびPythonによる機械学習システムの実装例を説明しつつ、 機械学習を本番活用するための方法論や、運用、改善ノウハウについて解説します。 本書で扱うプラットフォームには、コードの再現実行を担保するため、 DockerとKubernetesを活用します。 機械学習の学習から評価、QAを行い、推論器をリリースして 運用するまでの一連の流れをアーキテクチャやコードとともに解説します。 【デザインパターンのサンプル】 本書で解説している実際のサンプルコードをGitHubからダウンロードして利用可能です。 【本書のゴール】 ・機械学習を実用化する方法が学べる ・Pythonによる機械学習ワークフローおよびWebアプリケーション開発の概要を学べる ・機械学習を組み込んだシステムの運用ノウハウを得られる ・機械学習システムのトラブルシューティングや調査方法を学べる 【著者プロフィール】 澁井 雄介（しぶい・ゆうすけ） 株式会社ティアフォー所属。 MLOpsエンジニア、インフラエンジニア、ARエンジニア、ネコ2匹の飼い主。家に猫用ハンモックが4台ある。 本業で自動運転のためのMLOps基盤をKubernetesで開発しつつ、趣味でARとEdge AIを組み合わせて遊んでいる。 過去にはSIer、外資ソフトウェアベンダー、スタートアップで新規プロダクトの起ち上げ、大規模システム運用、チームマネジメントに従事。 前職メルカリにて機械学習をシステムに組み込むデザインパターンを執筆、公開。 ・GitHubで「mercari/ml-system-design-pattern」と検索...,442,,ja,http://books.google.com/books/content?id=88ArEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.0,1.0,1.0,0
AI・データ分析プロジェクトのすべて[ビジネス力×技術力=価値創出],大城信晃，マスクド・アナライズ，伊藤徹郎，小西哲平，西原成輝,技術評論社,AI・データ分析プロジェクトのすべて,"大城信晃, マスクド・アナライズ, 伊藤徹郎, 小西哲平, 西原成輝, 油井志郎",,2020-12,現場でしか得られないビジネス知識/暗黙知を解説。課題設定→案件獲得→外注見積→契約→分析手法の検討→進行管理→分析結果の評価→レポーティング→分析基盤の構築検討→収益化。プロジェクトの入口から出口までのノウハウを網羅。...,320,,ja,http://books.google.com/books/content?id=s4IdzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,1.0,0
AI白書2019,独立行政法人情報処理推進機構AI白書編集委員会,KADOKAWA,,,,,,,,,,,,,1
AWS運用入門 押さえておきたいAWSの基本と運用ノウハウ,佐竹陽一，山﨑翔平，小倉大，峯侑資,SBクリエイティブ,AWS運用入門,"佐竹陽一, 山﨑翔平, 小倉大, 峯侑資",SBクリエイティブ,2023-03-31,現場で役立つ！ AWSトップエンジニアが実践しているシステム運用の手法とコツ ※この電子書籍は固定レイアウト型で配信されております。固定レイアウト型は文字だけを拡大することや、文字列のハイライト、検索、辞書の参照、引用などの機能が使用できません。 本書では「最初に知っておきたいAWS運用のすべて」を体系立てて解説します。 システム運用で利用するEC2・IAM・RDSといった基本的なサービスはもちろん、 意外と知らないバックアップ/リストア、セキュリティ統制、監査に関わるサービスも基本から丁寧に解説。 日々の運用業務の中で「なるべく楽に」「効率的に」AWSでシステムを運用する手法が満載です。 ■本書の対象読者 ・これからシステム運用に関わる新米エンジニアの方々 ・これまでオンプレミスで運用をしてきたエンジニアのみなさま ■こんな悩みが解消します ・便利なアカウント管理の方法は？ ・最適なログの収集と分析方法は？ ・エラーを管理しやすい監視方法は？ ・ヌケモレを防ぐパッチ適用の方法は？ ・簡単なコスト削減の方法は？ ※カバー画像が異なる場合があります。...,507,Computers,ja,http://books.google.com/books/content?id=Dnm1EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.0,0.0,1.0,0
BERTによる自然言語処理入門: Transformersを使った実践プログラミング,近江崇宏，金田健太郎，森長誠，江間見亜利,オーム社,BERTによる自然言語処理入門,"近江崇宏, 金田健太郎, 森長　誠, 江間見亜利",株式会社 オーム社,2021-06-28,"自然言語処理の標準モデル、BERTを使いこなせるようになる！ BERTはGoogleが2018年末に発表した自然言語処理モデルです。「文脈」を考慮した処理が特徴的であり、言語理解を評価する11個のタスクについて最高精度を達成し、今や標準的なモデルとしての地位を確立しています。 本書は、自然言語処理の近年における発展に大きな役割を果たし、かつ応用上も有用であるBERTの入門書です。前半で自然言語処理や機械学習について概説したのち、BERTによって実際にさまざまなタスクを解いていきます。具体的には、文章分類・固有表現抽出・文章校正・類似文章検索・データの可視化を扱います。データセットの処理から、ファインチューニング（BERTを特定の言語タスクに特化させるための学習）、性能の評価までの一連の流れを体験することで、BERTを自分で使えるようになることを目標とします。 なお、BERTで処理を行うためのライブラリとして、深層学習の言語モデルを扱ううえでよく使用されるTransformersを、学習や性能評価を効率的に行うためのライブラリとしてPyTorch Lightningを用います。本書ではTransformersやPyTorch Lightningを用いたことがない読者を想定して、その使い方を一から体系的かつ丁寧に解説します。 ▼本書の環境 言語：Python 深層学習フレームワーク：PyTorch ライブラリ：Transformers, PyTorch Lightning 計算環境：Google Colaboratory ▼本書の特徴 ・BERTで実際にさまざまなタスクを解くことができます。 ・使用するデータセットを日本語で統一しています。 ・ライブラリの使い方を一から体系的に説明します。 このような方におすすめ ◎自然言語処理を行うエンジニア ◎自然言語処理に興味のある情報系学部などの学生 主要目次 第1章 はじめに 第2章 ニューラルネットワークを用いた自然言語処理 第3章 BERT 第4章 Huggingface Transformers 第5章 文章の穴埋め 第6章 文章分類 第7章 マルチラベル文章分類 第8章 固有表現抽出 第9章 文章校正 第10章 文章ベクトルを用いたデータの可視化と類似文章検索 付録A ニューラルネットワークの学習の基礎 付録B Colaboratoryの使い方...",201,Computers,ja,http://books.google.com/books/content?id=ZWY0EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.0,1.0,1.0,0
Bayesian Model Selection and Statistical Modeling,Tomohiro Ando,CRC Press,Bayesian Model Selection and Statistical Modeling,Tomohiro Ando,CRC Press,2010-05-27,"Along with many practical applications, Bayesian Model Selection and Statistical Modeling presents an array of Bayesian inference and model selection procedures. It thoroughly explains the concepts, illustrates the derivations of various Bayesian model selection criteria through examples, and provides R code for implementation. The author shows how to implement a variety of Bayesian inference using R and sampling methods, such as Markov chain Monte Carlo. He covers the different types of simulation-based Bayesian model selection criteria, including the numerical calculation of Bayes factors, the Bayesian predictive information criterion, and the deviance information criterion. He also provides a theoretical basis for the analysis of these criteria. In addition, the author discusses how Bayesian model averaging can simultaneously treat both model and parameter uncertainties. Selecting and constructing the appropriate statistical model significantly affect the quality of results in decision making, forecasting, stochastic structure explorations, and other problems. Helping you choose the right Bayesian model, this book focuses on the framework for Bayesian model selection and includes practical examples of model selection criteria....",300,Mathematics,en,http://books.google.com/books/content?id=PJzLUEt-VoYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.0,1.0,1.0,0
Bayesian Reasoning and Mashine Learning,D. Barber,Cambrige,,,,,,,,,,,,,1
Bayesian Statistisc 9,J.M. Bernardo,Oxford science publications,Objective Bayesian Inference,"James O Berger, Jose-Miguel Bernardo, Dongchu Sun",,2024,"Bayesian analysis is today understood to be an extremely powerful method of statistical analysis, as well an approach to statistics that is particularly transparent and intuitive. It is thus being extensively and increasingly utilized in virtually every area of science and society that involves analysis of data.A widespread misconception is that Bayesian analysis is a more subjective theory of statistical inference than what is now called classical statistics. This is true neither historically nor in practice. Indeed, objective Bayesian analysis dominated the statistical landscape from roughly 1780 to 1930, long before 'classical' statistics or subjective Bayesian analysis were developed. It has been a subject of intense interest to a multitude of statisticians, mathematicians, philosophers, and scientists. The book, while primarily focusing on the latest and most prominent objective Bayesian methodology, does present much of this fascinating history.The book is written for four different audiences. First, it provides an introduction to objective Bayesian inference for non-statisticians; no previous exposure to Bayesian analysis is needed. Second, the book provides an overview of the development and current state of objective Bayesian analysis and its relationship to other statistical approaches, for those with interest in the philosophy of learning from data. Third, the book presents a careful development of the particular objective Bayesian approach that we recommend, the reference prior approach. Finally, the book presents as much practical objective Bayesian methodology as possible for statisticians and scientists primarily interested in practical applications....",0,Mathematics,en,http://books.google.com/books/content?id=ol460AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,0.0,0
Baysiabn Theory,J. M. Bernardo，A. F. M Smith,WILEY INTERSCIENCE,,,,,,,,,,,,,1
