name,publisher,authors,author_1,author_2,author_3,author_4,author_5,author_6,author_7,author_8,author_9,author_10,author_11,author_12,author_13,author_14
情報量統計学 (情報科学講座 A・5・4) (情報科学講座 (A・5・4)),共立出版,坂元慶行，石黒真木夫，北川源四郎,坂元慶行,石黒真木夫,北川源四郎,,,,,,,,,,,
多変量解析法入門,サイエンス社,永田靖，棟近雅彦,永田靖,棟近雅彦,,,,,,,,,,,,
多変量解析入門――線形から非線形へ ,岩波書店,小西貞則,小西貞則,,,,,,,,,,,,,
カーネル多変量解析―非線形データ解析の新しい展開 ,岩波書店,赤穂昭太郎,赤穂昭太郎,,,,,,,,,,,,,
初等多変量解析,朝倉書店,武藤眞介,武藤眞介,,,,,,,,,,,,,
多変量データ解析講義,朝倉書店,水野欽司,水野欽司,,,,,,,,,,,,,
多変量のデータ解析,朝倉書店,圓川隆夫,圓川隆夫,,,,,,,,,,,,,
多変量推測統計の基礎,共立出版,竹村彰通,竹村彰通,,,,,,,,,,,,,
多変量解析入門,篠原出版新社,足立堅一,足立堅一,,,,,,,,,,,,,
主成分分析,朝倉書店,上田尚一,上田尚一,,,,,,,,,,,,,
多次元データ解析法,共立出版,中村永友,中村永友,,,,,,,,,,,,,
一般化線形モデル,共立出版,粕谷英一,粕谷英一,,,,,,,,,,,,,
クラスター分析入門,森北出版,宮本定明,宮本定明,,,,,,,,,,,,,
統計的因果推論-回帰分析の新しい枠組み-,朝倉書店,宮川雅巳,宮川雅巳,,,,,,,,,,,,,
入門 統計的因果推論,朝倉書店,J. Pearl，落海浩,J. Pearl,落海浩,,,,,,,,,,,,
統計的因果推論―モデル・推論・推測―,共立出版,Judea Pearl，黒木学,Judea Pearl,黒木学,,,,,,,,,,,,
カーネル法入門 ─正定値カーネルによるデータ解析─,朝倉書店,福水健次,福水健次,,,,,,,,,,,,,
統計的因果推論の理論と実装,共立出版,高橋将宜，石田基広，市川太祐，高橋康介，高柳慎一，福島真太朗，松浦健太郎,高橋将宜,石田基広,市川太祐,高橋康介,高柳慎一,福島真太朗,松浦健太郎,,,,,,,
機械学習のためのカーネル100問 with Python,共立出版,鈴木譲,鈴木譲,,,,,,,,,,,,,
因果推論入門〜ミックステープ：基礎から現代的アプローチまで,技術評論者,Scott Cunningham，加藤真大，河中祥吾，白木紀行，冨田燿志，早川裕太，兵頭亮介，藤田光明，邊土名朝飛，森脇大輔，安井翔太,Scott Cunningham,加藤真大,河中祥吾,白木紀行,冨田燿志,早川裕太,兵頭亮介,藤田光明,邊土名朝飛,森脇大輔,安井翔太,,,
インベンス・ルービン 統計的因果推論 （上）,朝倉書店,G.W.インベンス，D.B.ルービン，星野崇宏，繁桝算男,G.W.インベンス,D.B.ルービン,星野崇宏,繁桝算男,,,,,,,,,,
確率モデルの基礎―金融工学を視野に入れた確率論的考え方 ,東京電機大学出版局,遠藤靖,遠藤靖,,,,,,,,,,,,,
はじめての確率論 測度から確率へ,共立出版,佐藤坦,佐藤坦,,,,,,,,,,,,,
確率論 (実教理工学全書),実教出版,西尾真喜子,西尾真喜子,,,,,,,,,,,,,
確率論の基礎,岩波書店,伊藤清,伊藤清,,,,,,,,,,,,,
自然科学の統計学,東京大学出版会,東京大学教養学部統計学教室,東京大学教養学部統計学教室,,,,,,,,,,,,,
確率論とその応用I上,紀伊國屋書店,W・フェラー,W・フェラー,,,,,,,,,,,,,
